RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
873175,2013188063,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,06/02/2013,06/02/2013 05:00:00 AM,06/02/2013 10:00:00 AM,15XX BLOCK OF E HOWE ST,C,C2,6200.3005,-122.313171387,47.635944366,"(47.635944366, -122.313171387)"
876084,2013164223,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,05/16/2013,05/15/2013 08:45:00 PM,05/16/2013 07:40:00 AM,28XX BLOCK OF E MADISON ST,C,C2,7700.2000,-122.295829773,47.623714447,"(47.623714447, -122.295829773)"
876702,2013162341,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,05/14/2013,05/14/2013 01:00:00 PM,05/14/2013 03:45:00 PM,11XX BLOCK OF 19 AV E,C,C2,6400.3005,-122.307258606,47.629642487,"(47.629642487, -122.307258606)"
882646,2013114158,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,04/05/2013,04/05/2013 11:28:00 AM,,20XX BLOCK OF E LOUISA ST,C,C2,6200.2021,-122.304649353,47.642456055,"(47.642456055, -122.304649353)"
884667,2013100095,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/25/2013,03/25/2013 11:45:00 AM,,23XX BLOCK OF DELMAR DR E,C,C2,6200.3000,-122.315391541,47.640956879,"(47.640956879, -122.315391541)"
885825,201392722,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/19/2013,03/11/2013 12:00:00 PM,03/18/2013 04:30:00 PM,25XX BLOCK OF BOYER AV E,C,C2,6100.2020,-122.315742493,47.642608643,"(47.642608643, -122.315742493)"
616317,201621028,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/18/2016,01/17/2016 05:00:00 PM,01/18/2016 05:00:00 PM,20XX BLOCK OF 42 AV E,C,C2,6300.1013,-122.278442383,47.638034821,"(47.638034821, -122.278442383)"
651684,201648482,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/09/2016,02/03/2016 12:01:00 AM,02/09/2016 07:33:00 PM,9XX BLOCK OF 20 AV E,C,C2,6400.3012,-122.306037903,47.627754211,"(47.627754211, -122.306037903)"
651851,201645878,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,02/07/2016,02/07/2016 03:38:00 PM,,1XX BLOCK OF 22 AV E,C,C2,7600.2009,-122.303634644,47.619316101,"(47.619316101, -122.303634644)"
651913,201646639,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,02/08/2016,01/25/2016 12:01:00 AM,02/04/2016 11:59:00 PM,17XX BLOCK OF 26 AV E,C,C2,6200.1061,-122.299468994,47.635910034,"(47.635910034, -122.299468994)"
651999,201645735,1305,0,ASSLT-AGG-WEAPON,1300,ASSAULT,02/07/2016,02/07/2016 01:00:00 PM,,27XX BLOCK OF E MADISON ST,C,C2,7700.2010,-122.296852112,47.623031616,"(47.623031616, -122.296852112)"
652200,201644745,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/06/2016,02/05/2016 08:00:00 PM,02/06/2016 02:50:00 PM,25XX BLOCK OF BOYER AV E,C,C2,6100.2020,-122.315742493,47.642608643,"(47.642608643, -122.315742493)"
652635,201640873,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,02/03/2016,02/01/2016 12:01:00 AM,02/01/2016 07:00:00 AM,18XX BLOCK OF 19 AV,C,C2,7900.5001,-122.307388306,47.618053436,"(47.618053436, -122.307388306)"
654251,201631718,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/27/2016,01/27/2016 01:30:00 AM,01/27/2016 09:00:00 AM,2XX BLOCK OF 23 AV E,C,C2,7700.4004,-122.302490234,47.620792389,"(47.620792389, -122.302490234)"
654297,201628881,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,01/25/2016,01/25/2016 06:00:00 AM,,39XX BLOCK OF E BOSTON ST,C,C2,6300.3006,-122.282417297,47.638065338,"(47.638065338, -122.282417297)"
